complaint,label,processed_complaint,cluster,distance_to_center
I want to register for TikTok but I can't.,useful,want register tiktok can't.,1,0.9034321555858369
The shopping cart could not be opened.,useful,shopping cart could opened.,3,0.8211802420851204
I want to apply for e-commerce permission again.,useful,want apply e-commerce permission again.,1,1.0176150361464713
I can't shop DC.,useful,can't shop dc.,0,0.4633464324656436
Why can't I sign up for TikTok?,useful,can't sign tiktok?,4,0.4380228161475602
Why my account doesn't meet the requirements to register as a creator,useful,account doesn't meet requirements register creator,1,0.8882457489891974
I can't register the creator to link mik. The product expects your support mik.,useful,can't register creator link mik. product expects support mik.,5,0.9230364113504045
why nick can't I register tik tok shop,useful,nick can't register tik tok shop,5,0.6372597186860355
"Now that you can enter the TikTok Shop, do you have a way to withdraw the commission that is still in this account?",useful,"enter tiktok shop, way withdraw commission still account?",7,0.9441156465857055
Why can't I open a TikTok Shop?,useful,can't open tiktok shop?,7,0.46174257284355963
I want to open the shopping cart. Why can't I open it?,useful,want open shopping cart. can't open it?,3,0.6108435360316758
Why can't I open a TikTok Shop?,useful,can't open tiktok shop?,7,0.46174257284355963
I have qualified for R but can't register.,useful,qualified r can't register.,1,0.9904446172991721
"I guarantee that I have met the requirements for creators, but I can't open a TikTok shop.",useful,"guarantee met requirements creators, can't open tiktok shop.",2,0.7648392090512522
How can I qualify without opening the shopping cart?,useful,qualify without opening shopping cart?,3,0.836460213466882
I want to open the shopping cart.,useful,want open shopping cart.,3,0.6156871331331049
"There is a problem with my channel that I can't open the shopping cart. TikTok, can you explain it better for me to fix it?",useful,"problem channel can't open shopping cart. tiktok, explain better fix it?",3,0.9266737376581965
Please open the shopping cart.,useful,please open shopping cart.,3,0.42818127109715254
I need to open a linked cart.,useful,need open linked cart.,3,0.9277588828070499
Not eligible for affiliate,useful,eligible affiliate,6,0.8512975770971966
"I am already qualified, please help me register for the TikTok shop.",useful,"already qualified, please help register tiktok shop.",7,0.9511262641994266
Why can't I open the shopping cart?,useful,can't open shopping cart?,3,0.42818127109715254
"My account is created and interacts well with 1000 followers, why can't I open a shopping cart?",useful,"account created interacts well 1000 followers, can't open shopping cart?",3,0.8383361154317779
I received the notification that I am eligible to make money. Why can't I open the shopping cart? I hope TikTok will support me and check it for me.,useful,received notification eligible make money. can't open shopping cart? hope tiktok support check me.,3,0.9525067554033066
Why was my TikTok shop registration account rejected? I need to know the reason why it was rejected.,useful,tiktok shop registration account rejected? need know reason rejected.,1,0.8698693384825844
There is no product link.,useful,product link.,5,0.9235872669847037
The time has passed but the cart cannot be opened.,useful,time passed cart cannot opened.,3,0.9778475403493785
I don't quite understand why the affiliate application was rejected.,useful,don't quite understand affiliate application rejected.,1,0.9173794739672821
I would like to apply for a TikTok shop for creators.,useful,would like apply tiktok shop creators.,2,0.7387739788354399
Why don't I have a shopping cart?,useful,don't shopping cart?,3,0.8264498324594975
Why can't I sign up?,useful,can't sign up?,4,0.38972646346083933
How can I open a TikTok Shop?,useful,open tiktok shop?,7,0.46174257284355963
Why can't I open the link?,useful,can't open link?,5,0.9181687637363275
"I'm having issue here to activate my creator account, im not what is the issue that titok rejected my application. 

Can someone please follow up on this matter ?",useful,"i'm issue activate creator account, im issue titok rejected application. someone please follow matter ?",1,0.7842211075926996
Why don't you open a TikTok shop for creators?,useful,don't open tiktok shop creators?,2,0.6840194570099609
Account registration is rejected,useful,account registration rejected,1,0.8589003216551855
Why can't I register a TikTok shop for creators?,useful,can't register tiktok shop creators?,2,0.6083015470163948
How to open a TikTok shop?,useful,open tiktok shop?,7,0.46174257284355963
"Excuse me, why can't I open the shopping cart?",useful,"excuse me, can't open shopping cart?",3,0.42818127109715254
"My account meets 3 conditions, but when re-registering it was not accepted. It may be a mistake, please review it for me.",useful,"account meets 3 conditions, re-registering accepted. may mistake, please review me.",1,0.9960167992353742
Why can't I open TikTok?,useful,can't open tiktok?,7,0.6972786807516812
Return to TikTok Shop,useful,return tiktok shop,7,0.5493790576314124
Why can't I open a shopping cart?,useful,can't open shopping cart?,3,0.42818127109715254
Why my account was rejected,useful,account rejected,1,0.7996589993138583
I can't register for an affiliate account.,useful,can't register affiliate account.,6,0.6827625353121322
I want to add a shopping cart but have a problem and I want help.,useful,want add shopping cart problem want help.,3,0.9454717566014876
Why was the registration rejected?,useful,registration rejected?,1,0.9373953630711426
How can I register in Tik Tok?,useful,register tik tok?,5,0.6478041949587235
Why does my account meet the requirements of TitkTok and my application is still rejected?,useful,account meet requirements titktok application still rejected?,1,0.8685661065563154
Why can't I sign up for the TikTok Shop?,useful,can't sign tiktok shop?,4,0.5031273312386715
I can't open the cart.,useful,can't open cart.,3,0.6462114675840559
I am 18 years old and have 1000 followers. TikTok Opens a Children's Shopping Cart,useful,18 years old 1000 followers. tiktok opens children's shopping cart,3,0.9595461356310516
We can't register the cart.,useful,can't register cart.,3,0.9116013556601587
Why not open a TikTok Shop?,useful,open tiktok shop?,7,0.46174257284355963
I am eligible to open the cart and check the good account status. So why was I refused to open the cart? TikTok considers supporting opening the cart for me.,useful,eligible open cart check good account status. refused open cart? tiktok considers supporting opening cart me.,3,0.8728850679657094
Admin Let me ask you why Njk has been blocked from linking to TikTok shop.,useful,admin let ask njk blocked linking tiktok shop.,7,0.9898328958292565
Why is my TikTok in good condition and still can't open the TikTok Shop?,useful,tiktok good condition still can't open tiktok shop?,7,0.7782675106822768
When can I reopen the shopping cart?,useful,reopen shopping cart?,3,0.9013995704191611
My account is in good condition and has not been reported. Why can't I open a tik tok shop?,useful,account good condition reported. can't open tik tok shop?,5,0.7648287235481458
Open TikTok Shop,useful,open tiktok shop,7,0.46174257284355963
I don't know what the account violated.,useful,don't know account violated.,1,0.9562356677308204
NhiQuach account is supported to open a TikTok shop cart.,useful,nhiquach account supported open tiktok shop cart.,7,0.589680583483097
I can't open the shopping cart.,useful,can't open shopping cart.,3,0.42818127109715254
I want to register for the TikTok Shop.,useful,want register tiktok shop.,7,0.8532350305791206
I want to open a shopping cart.,useful,want open shopping cart.,3,0.6156871331331049
I would like to apply for a TikTok shop for creators.,useful,would like apply tiktok shop creators.,2,0.7387739788354399
It has been more than 28 days and the TikTok shop has not been opened. I hope TikTok can help me.,useful,28 days tiktok shop opened. hope tiktok help me.,7,0.9230467036051122
Why did I send the cancelled sales order?,useful,send cancelled sales order?,5,1.078076588443378
I can't sign up with the creator. My account is good.,useful,can't sign creator. account good.,4,0.7235061124753396
My TikTok account can't create a TikTok Shop,useful,tiktok account can't create tiktok shop,7,0.7996399191118435
I want to create a shopping cart.,useful,want create shopping cart.,3,0.8935590191480417
I would like to be assisted in opening a shopping cart for me to sell.,useful,would like assisted opening shopping cart sell.,3,0.9722082295060386
"My account is in good condition, but why can't I open TikTok?",useful,"account good condition, can't open tiktok?",7,0.9418655749485451
"Why can't I sign up, when my account reputation is good.",useful,"can't sign up, account reputation good.",4,0.8136125344190155
"There is something wrong with my account, I can't register for the shopping cart!",useful,"something wrong account, can't register shopping cart!",3,0.9126609508130658
"I hope TikTok can help me interact with more than 1k followers, but I can't open a TikTok shop, please check it.",useful,"hope tiktok help interact 1k followers, can't open tiktok shop, please check it.",7,0.9094705572558047
I can't open the shopping cart.,useful,can't open shopping cart.,3,0.42818127109715254
I can't open TikTok shp account. Please open the ad for me.,useful,can't open tiktok shp account. please open ad me.,7,0.7524251173293786
Can I ask if my account can still open the shopping cart? I was rejected and couldn't open it.,useful,ask account still open shopping cart? rejected couldn't open it.,3,0.8284120981056704
I met the criteria of TikTok but I can't register as a creator.,useful,met criteria tiktok can't register creator.,1,0.9303924733667167
Why can't I register for the TikTok store?,useful,can't register tiktok store?,1,0.9507394005284647
My account is eligible to participate in the TikTok Shop. Please review it.,useful,account eligible participate tiktok shop. please review it.,7,0.9721798512327959
My account is not registered with TikTok Shop.,useful,account registered tiktok shop.,7,0.5918197507171684
Why don't I open a shopping cart? I didn't mess with my account.,useful,don't open shopping cart? didn't mess account.,3,0.7475093264904855
I want a shopping cart.,useful,want shopping cart.,3,0.7267430743474858
I have met the 3 criteria for TiktokShop registration for creators and the account is working well. Why am I still being refused to register?,useful,met 3 criteria tiktokshop registration creators account working well. still refused register?,2,0.9193713548155926
I can't open the shopping cart.,useful,can't open shopping cart.,3,0.42818127109715254
"Hi TikTok Support,

I am writing to express my concern regarding my recent application for the TikTok Creator Program. Despite meeting all three main requirements for eligibility, my application was not approved.

I have ensured that:
	1.	I have met the minimum follower count.
	2.	I consistently receive the required number of video views.
	3.	I adhere to all community guidelines and content standards.

Could you please clarify why my application was not accepted.",useful,"hi tiktok support, writing express concern regarding recent application tiktok creator program. despite meeting three main requirements eligibility, application approved. ensured that: 1. met minimum follower count. 2. consistently receive required number video views. 3. adhere community guidelines content standards. could please clarify application accepted.",1,0.9390049675376443
I want to know why I can't open the shopping cart.,useful,want know can't open shopping cart.,3,0.7679453544190635
Open cart TikTok shop is refused,useful,open cart tiktok shop refused,7,0.828007116357448
Why can't I sell goods on my account?,useful,can't sell goods account?,1,0.9776088235076422
I have a good account and can't link to the TikTok shop.,useful,good account can't link tiktok shop.,7,0.8561482070018331
I want to apply for TikTok Shop and was rejected.,useful,want apply tiktok shop rejected.,1,0.9013077045143891
Why can't I open the shopping cart?,useful,can't open shopping cart?,3,0.42818127109715254
"I was eligible to open TikTok for creators, but why was rejected?",useful,"eligible open tiktok creators, rejected?",2,0.7999824981385941
I want to attach a shopping cart for children's clothes.,useful,want attach shopping cart children's clothes.,3,0.9386377883775238
"WHY my channel can't open the shopping cart, although I checked my account and found nothing.",useful,"channel can't open shopping cart, although checked account found nothing.",3,0.7913814379252213
I have 1k followers why can't I open the shopping cart?,useful,1k followers can't open shopping cart?,3,0.8240266604284453
Why can't my account be opened?,useful,can't account opened?,1,0.9200381483134747
Unable to open Tiktokshop for creators after qualifying,useful,unable open tiktokshop creators qualifying,2,0.8933942734618675
"Admin, why can't I register for TikTok?",useful,"admin, can't register tiktok?",1,0.9645348418829526
I don't know what's wrong with my account and I can't register for affiliate marketing.,useful,don't know what's wrong account can't register affiliate marketing.,6,0.7439975957447534
Please see if you can't open the shopping cart.,useful,please see can't open shopping cart.,3,0.42818127109715254
I need to fix the TikTok community violation and update the TikTok shop.,useful,need fix tiktok community violation update tiktok shop.,7,0.9717096761372324
Why can't I open a TikTok shop?,useful,can't open tiktok shop?,7,0.46174257284355963
Why can't I open the shopping cart?,useful,can't open shopping cart?,3,0.42818127109715254
Why was I refused to open the affiliate shopping cart?,useful,refused open affiliate shopping cart?,3,0.8464360224075869
Why can't I open the shopping cart?,useful,can't open shopping cart?,3,0.42818127109715254
Why can't I sign up?,useful,can't sign up?,4,0.38972646346083933
Why can't you register to open the shopping cart?,useful,can't register open shopping cart?,3,0.6085042235738397
I found that my application was rejected even though I met all the terms of TikTok. Please review and confirm my creator's TikTok shop application. Thanks!,useful,found application rejected even though met terms tiktok. please review confirm creator's tiktok shop application. thanks!,1,0.8734281347386622
"The window can't be opened, but the conditions are met",useful,"window can't opened, conditions met",1,1.0096995388581433
